site,peak_doy,trough_doy,start_doy,end_doy,peak_val,trough_val,decline_pct,increase_pct,season_days
0094,50,178,301,127,1.16253530144092,0.8400162582946346,27.742731145156185,38.39438105651074,191
0270,66,273,353,123,1.141033246976762,0.7513997008777149,34.147431473307655,51.854365345622774,135
0351,81,261,314,118,1.0686024103870304,0.8863519052463152,17.05503406778832,20.561867590284933,169
