doy,logidx,index
1,0.009851509932380797,1.0099001958014575
2,0.010180702712760892,1.0102327023811997
3,0.010599572500664036,1.0106559469749774
4,0.011108493360234341,1.0111704217706152
5,0.011707468524262415,1.0117762691655137
6,0.012396135660041684,1.0124732862096675
7,0.013173773571246295,1.0132609300322626
8,0.014039310286127414,1.0141383242226274
9,0.014991332476595974,1.0151042661376042
10,0.016028096147341825,1.0161572351084247
11,0.017147538529056174,1.0172954015208926
12,0.01834729110509611,1.018516636743025
13,0.019624693696578946,1.019818523874236
14,0.02097680952693521,1.0211983692896505
15,0.022400441183401495,1.0226532149521586
16,0.023892147389809167,1.024179851463397
17,0.025448260502335573,1.0257748318229185
18,0.027064904637640344,1.027434485862449
19,0.028738014341017838,1.029154935319333
20,0.03046335370086268,1.0309321095100512
21,0.03223653581487327,1.0327617615611442
22,0.03405304251300667,1.0346394851510086
23,0.03590824424224861,1.0365607317119325
24,0.03779742001876778,1.0385208280374598
25,0.03971577735398244,1.0405149942358158
26,0.04165847206246658,1.0425383619657476
27,0.04362062786145785,1.0445859928868348
28,0.04559735567398333,1.0466528972521936
29,0.0475837725502813,1.0487340525676143
30,0.049575020125250065,1.0508244222376404
31,0.05156628253308004,1.0529189741159832
32,0.05355280370400568,1.0550126988750812
33,0.05552990397222529,1.057100628107595
34,0.05749299592845904,1.0591778520713016
35,0.05943759945532338,1.0612395369882108
36,0.061359355888667914,1.0632809418088938
37,0.06325404125322381,1.0652974343539676
38,0.06511757852632077,1.0672845067465007
39,0.06694604888901752,1.0692377900517673
40,0.06873570192972571,1.0711530680443182
41,0.07048296477126324,1.0730262900267253
42,0.07218445009821679,1.0748535826295749
43,0.07383696306749661,1.0766312605282984
44,0.07543750709099777,1.0783558360191894
45,0.07698328848531072,1.080024027404389
46,0.07847171998941964,1.0816327661436793
47,0.07990042315725909,1.0831792027394913
48,0.08126722963784065,1.0846607113305573
49,0.08257018136137728,1.0860748929789767
50,0.08380752965540254,1.087419577645064
51,0.08497773332027095,1.0886928248540526
52,0.08607945569861154,1.0898929230684735
53,0.08711156077826415,1.0910183877896702
54,0.08807310837292925,1.092067958421376
55,0.08896334842919061,1.0930405939374337
56,0.08978171451269772,1.0939354674045128
57,0.09052781653010819,1.0947519594189534
58,0.09120143274686722,1.0954896505245981
59,0.09180250116402677,1.0961483126855345
60,0.0923311103200682,1.096727899894056
61,0.0927874895860744,1.0972285379997544
62,0.09317199902459128,1.097650513850475
63,0.09348511888411579,1.0979942638398446
64,0.09372743880234148,1.0982603619592055
65,0.09389964679207875,1.0984495074540621
66,0.09400251808414259,1.0985625121865326
67,0.09403690390146759,1.0986002878058656
68,0.09400372023826731,1.0985638328287815
69,0.09390393671720876,1.0984542197303158
70,0.09373856559632927,1.0982725821439836
71,0.09350865099578785,1.0980201022674916
72,0.09321525841253032,1.0976979985669477
73,0.09285946458856427,1.0973075138686188
74,0.09244234779580528,1.096849903922795
75,0.0919649785973811,1.096326426519303
76,0.09142841114188534,1.095738331228739
77,0.09083367504337557,1.0950868498375899
78,0.09018176789593212,1.0943731875391605
79,0.08947364846735578,1.0935985149356822
80,0.08871023061210855,1.0927639609001665
81,0.0878923779389156,1.0918706063395789
82,0.08702089926357384,1.090919478893761
83,0.08609654487248011,1.089911548597281
84,0.08512000361722766,1.088847724524089
85,0.08409190085534776,1.087728852427539
86,0.08301279724692893,1.0865557133810322
87,0.08188318841145037,1.0853290234173076
88,0.08070350544375397,1.0840494341572589
89,0.07947411628267664,1.0827175344121416
90,0.07819532792050149,1.0813338527361855
91,0.07686738943609119,1.0798988608999582
92,0.07549049582936952,1.0784129782483898
