slope_decade,p,measure,threshold,weighting,seasons
0.2735042735042486,0.8954835589898988,Opens,12,gap_plain,26
1.097435897435761,0.831104464679327,Closes,12,gap_plain,26
0.8239316239315175,0.8482246402971365,Length,12,gap_plain,26
-2.071794871794896,0.28921748062130104,Opens,13,gap_plain,26
5.0461538461538735,0.36161180914808166,Closes,13,gap_plain,26
7.117948717948713,0.14098030145194576,Length,13,gap_plain,26
0.7897435897436125,0.7128013053502442,Opens,14,gap_plain,26
2.376068376068356,0.6731560253710525,Closes,14,gap_plain,26
1.586324786324695,0.7893757145153263,Length,14,gap_plain,26
3.630769230769286,0.10718051328332534,Opens,15,gap_plain,26
4.837606837606888,0.42046015984807705,Closes,15,gap_plain,26
1.206837606837615,0.8441880180859394,Length,15,gap_plain,26
1.27179487179488,0.585765280498338,Opens,16,gap_plain,26
-1.849572649572658,0.7369026993907839,Closes,16,gap_plain,26
-3.121367521367569,0.5805482149416235,Length,16,gap_plain,26
3.292307692307706,0.18039191369512464,Opens,17,gap_plain,26
1.2376068376069151,0.7757273316100406,Closes,17,gap_plain,26
-2.0547008547007635,0.6417689076738884,Length,17,gap_plain,26
2.8034188034187753,0.23297588957099824,Opens,18,gap_plain,26
1.6341880341881245,0.6885652183954056,Closes,18,gap_plain,26
-1.1692307692307298,0.7684061000452297,Length,18,gap_plain,26
4.488888888888864,0.07648254260139185,Opens,19,gap_plain,26
-0.020512820512781985,0.9960868208663738,Closes,19,gap_plain,26
-4.50940170940164,0.3371447862322896,Length,19,gap_plain,26
3.9863247863247455,0.12099965109185758,Opens,20,gap_plain,26
-1.6205128205128156,0.6990087558236282,Closes,20,gap_plain,26
-5.606837606837517,0.2211888261828827,Length,20,gap_plain,26
5.7811965811965536,0.009417662069202259,Opens,21,gap_plain,26
-0.700854700854589,0.8716145957296839,Closes,21,gap_plain,26
-6.482051282051124,0.15203064339654188,Length,21,gap_plain,26
7.456410256410236,0.0038883677127935622,Opens,22,gap_plain,26
-4.83076923076918,0.26178217395434683,Closes,22,gap_plain,26
-12.287179487179433,0.006671149093821197,Length,22,gap_plain,26
4.020512820512796,0.21143939215937702,Opens,23,gap_plain,26
-4.827350427350447,0.23270650627895756,Closes,23,gap_plain,26
-8.847863247863216,0.040934074481646814,Length,23,gap_plain,26
3.866666666666605,0.3210567276386576,Opens,24,gap_plain,26
-3.18632478632472,0.42848959798272357,Closes,24,gap_plain,26
-7.0529914529913285,0.05936291413571097,Length,24,gap_plain,26
4.393162393162331,0.27492088136089965,Opens,25,gap_plain,26
-4.355555555555519,0.2588878371809804,Closes,25,gap_plain,26
-8.748717948717841,0.029445563747237023,Length,25,gap_plain,26
-0.5846153846153308,0.8924608178808615,Opens,26,gap_plain,26
-4.803418803418774,0.20879034053825954,Closes,26,gap_plain,26
-4.218803418803428,0.3090303403770518,Length,26,gap_plain,26
-2.0820512820512787,0.5904595742141037,Opens,27,gap_plain,26
-5.466666666666703,0.0785759407643375,Closes,27,gap_plain,26
-3.384615384615437,0.3922883024153203,Length,27,gap_plain,26
-1.1384615384615295,0.7645199289377457,Opens,28,gap_plain,26
-2.1948717948717773,0.37394201449769515,Closes,28,gap_plain,26
-1.056410256410238,0.8234170792947063,Length,28,gap_plain,26
1.1111111111111305,0.8050326012434534,Opens,29,gap_plain,26
-0.9299145299144974,0.6717189179890087,Closes,29,gap_plain,26
-2.0410256410256054,0.6917746834870481,Length,29,gap_plain,26
0.054700854700838665,0.9906689786702018,Opens,30,gap_plain,26
0.49230769230767574,0.7970822806631955,Closes,30,gap_plain,26
0.4376068376068803,0.9335429536286237,Length,30,gap_plain,26
2.400000000000007,0.5802305730462815,Opens,31,gap_plain,26
0.09914529914526776,0.9474217801558391,Closes,31,gap_plain,26
-2.3008547008547127,0.6348933082452566,Length,31,gap_plain,26
1.9350427350427326,0.6611674180387728,Opens,32,gap_plain,26
0.08547008547005415,0.9491024538526878,Closes,32,gap_plain,26
-1.8495726495726272,0.710207344029842,Length,32,gap_plain,26
2.010327635327584,0.7162447237748806,Opens,33,gap_plain,25
-0.07686372269703894,0.9513477419395648,Closes,33,gap_plain,25
-2.087191358024649,0.7336164601998154,Length,33,gap_plain,25
0.6764897739921959,0.913423688489337,Opens,34,gap_plain,22
-0.3779594029392501,0.7856923710809316,Closes,34,gap_plain,22
-1.0544491769314117,0.8786133788321882,Length,34,gap_plain,22
-1.8263986286426923,0.7559810894911951,Opens,35,gap_plain,20
-1.0326736273440196,0.44496880239010506,Closes,35,gap_plain,20
0.7937250012986576,0.9082549568591689,Length,35,gap_plain,20
-0.823020479684513,0.8928145759649753,Opens,36,gap_plain,19
-0.6916000438067128,0.5947002425204337,Closes,36,gap_plain,19
0.13142043587772392,0.9847050053343063,Length,36,gap_plain,19
0.1162393162392933,0.9490991606976198,Opens,12,gap_weighted,26
1.3880341880340703,0.7949916143331691,Closes,12,gap_weighted,26
1.2717948717947647,0.7868382080929709,Length,12,gap_weighted,26
-0.09230769230773121,0.9636181772748899,Opens,13,gap_weighted,26
2.451282051281968,0.6471725266692445,Closes,13,gap_weighted,26
2.5435897435896893,0.5874719785099021,Length,13,gap_weighted,26
-2.2017094017094245,0.2838060974082841,Opens,14,gap_weighted,26
1.8803418803418297,0.7530393362426687,Closes,14,gap_weighted,26
4.08205128205124,0.4621776859709602,Length,14,gap_weighted,26
0.5435897435897686,0.8089953124280844,Opens,15,gap_weighted,26
4.256410256410243,0.49571723512090504,Closes,15,gap_weighted,26
3.712820512820523,0.5626610732010386,Length,15,gap_weighted,26
1.3709401709401918,0.5117233815408121,Opens,16,gap_weighted,26
3.189743589743612,0.5823652353208513,Closes,16,gap_weighted,26
1.818803418803441,0.7717452959533149,Length,16,gap_weighted,26
0.8376068376068413,0.7247905644442169,Opens,17,gap_weighted,26
-1.9247863247863277,0.7286425079929486,Closes,17,gap_weighted,26
-2.7623931623931757,0.629368561466898,Length,17,gap_weighted,26
2.4649572649572695,0.3182655407487405,Opens,18,gap_weighted,26
-0.8683760683760713,0.8650705462785147,Closes,18,gap_weighted,26
-3.333333333333379,0.4955589950303525,Length,18,gap_weighted,26
2.6427350427350134,0.2672500784922512,Opens,19,gap_weighted,26
3.2205128205129068,0.44347358580069773,Closes,19,gap_weighted,26
0.577777777777869,0.893099448569306,Length,19,gap_weighted,26
4.147008547008529,0.10908065140915657,Opens,20,gap_weighted,26
0.6188034188034552,0.8733187762223447,Closes,20,gap_weighted,26
