site,peak_doy,trough_doy,start_doy,end_doy,peak_val,trough_val,decline_pct,increase_pct,season_days
03-0094,50,178,301,127,1.16253530144092,0.8400162582946346,27.742731145156185,38.39438105651074,191
03-0270,66,273,353,123,1.141033246976762,0.7513997008777149,34.147431473307655,51.854365345622774,135
03-0351,81,261,314,118,1.0686024103870304,0.8863519052463152,17.05503406778832,20.561867590284933,169
12-0184,68,252,299,124,1.0979659985062782,0.9077037864518835,17.328606925281452,20.960826086019658,190
12-0273,315,173,282,98,1.0772294667450735,0.9027705542100712,16.19514856589863,19.324834169813453,181
