scope,n_stations,stations,model_r2,peak_doy,peak_doy_lo,peak_doy_hi,trough_doy,trough_doy_lo,trough_doy_hi,start_doy,start_doy_lo,start_doy_hi,end_doy,end_doy_lo,end_doy_hi,peak_val,peak_val_lo,peak_val_hi,trough_val,trough_val_lo,trough_val_hi,decline_pct,decline_pct_lo,decline_pct_hi,increase_pct,increase_pct_lo,increase_pct_hi,season_days,season_days_lo,season_days_hi
Collier,3,03-0094 03-0270 03-0351,0.7622229235543148,68,56,80,265,260,269,321,314,341.1,127,121,132,1.1195976894529711,1.1034880944390084,1.1426040530142794,0.8504095318037515,0.8304405408960306,0.8660795493578675,24.04329342451068,22.247246429290417,26.272643003092874,31.653944080125875,28.6128084341062,35.63486724185028,171,149,180
Lee,2,12-0184 12-0273,0.7769021524265362,66,58,319,174,166,184,290,281,295,118,110,128,1.0629923362095313,1.0535406083629462,1.085279928313129,0.9106932764460123,0.8973256551808303,0.9268627591116697,14.3273901961132,12.96612148887517,16.51692444978499,16.7234198058283,14.897786605398933,19.784758632295333,193,184,207
Pooled,5,03-0094 03-0270 03-0351 12-0184 12-0273,0.7632173608039047,67,58,76,262,258,266,308,304,313,126,121,130,1.0986002878058656,1.0857611048220293,1.1116499846085885,0.8914738703280621,0.8777953984171123,0.9045498961314921,18.85366495684051,17.274974956919383,20.373288328284268,23.234154625483416,20.882405231007375,25.585997360056204,183,176,189.04999999999995
