year,site,ROADWAY,DESC_FRM,DESC_TO,aadt,KFCTR,DFCTR,COUNTY
2023,034117,03000058,CARSON RD,NEW MARKET RD/CR-29A,5600,9,56,Collier
2023,034597,03521000,VANDERBILTBCHRDCR862,IMMOKALEE RD/CR 846,31500,9,56,Collier
2023,034124,03000523,CR-896/PINE RIDGE RD,VANDERBILT BCH RD,6800,9,56,Collier
2023,034516,03505000,US-41/SR-90,COUNTY BARN RD,21500,9,56,Collier
2023,034030,03000038,GULFSHORE BLVD,US-41/SR-45,12500,9,56,Collier
2023,034149,03512000,US41 / TAMIAMI TRL,CR 951/COLLIER BLVD,29500,9,56,Collier
2023,030058,03000025,RATTLESNAKE HAMMOCK,DAVIS BLVD,20500,9,56,Collier
2023,030191,03175000,Bridge No-030200,Bridge No-030321,90376,9,54.7,Collier
2023,034128,03003000,N/A,US-41/SR-45,36500,9,56,Collier
2023,034670,03610000,GULF HARBOR DR,VANDERBILT DR/CR 901,4700,9,56,Collier
2023,034118,03000059,LAKE TRAFFORD/CR890,WESTCLOX ST,6000,9,56,Collier
2023,034166,03530000,AIRPORT PULLING,N/A,28000,9,56,Collier
2023,034110,03000042,GOODLETTE FRANK RD,AIRPORT PULLING RD,11500,9,56,Collier
2023,037039,03175039,CR 886/GOLDEN GATE,RAMP# 03175038,8600,9,99.9,Collier
2023,037011,03175001,SR-951,I-75/SR-93 SB,2400,9,99.9,Collier
2023,030011,03040000,CR 94/LOOP RD,DADE CO LN,3200,9.5,57.1,Collier
2023,034585,03518000,GULFSHORE DR,US41/TAMIAMI TRL,4200,9,56,Collier
2023,037012,03175003,I-75 NB TO SR 951 NB,SR 951 NB,2800,9,99.9,Collier
2023,030157,03030000,Bridge No-030293,SR 90/US 41,41000,9,56.5,Collier
2023,034902,03000061,CARSON RD,N/A,8700,9,56,Collier
2023,035629,03516000,GULF SHORE BLVD,US-41,4600,9,56,Collier
2023,034531,03000043,COLLIER BLVD/CR 951,GOLDEN GATE BLVD,37500,9,56,Collier
2023,034534,03505000,COUNTY BARN RD,N/A,18700,9,56,Collier
2023,030190,03030001,BECK BLVD,ENDS @ RIGHT OF WAY,67500,9,56.5,Collier
2023,034121,03000062,IMMOKALEE DR,NEW MARKET RD/CR29 A,9300,9,56,Collier
2023,034171,03530001,IBIS CLUB DR,SR 84/DAVIS BLVD,15700,9,56,Collier
2023,030050,03515000,52ND AVE SE,GOLDEN GATE BLVD,9800,9,56,Collier
2023,030061,03000049,OIL WELL RD,POPE JOHN PAUL II BL,2500,9.5,56,Collier
2023,034510,03511000,N/A,CR 951/COLLIER BLVD,23500,9,56,Collier
2023,034113,03000053,ORCHARD LN,US 41/SR 90,9500,9,56,Collier
2023,037032,03175017,IMMOKALEE RD/CR 846,I-75 SB/ SR 93,10500,9,99.9,Collier
2023,030124,03010000,GDLTE FRANK RD/CR851,DAVIS BLVD/ SR 84,57500,9,56.5,Collier
2023,030177,03003000,US-41,SR-84/DAVIS BLVD,34000,9,56,Collier
2023,034157,03527000,CR 858/OIL WELL RD,CR 846/IMMOKALEE RD,2800,9.5,56,Collier
2023,034529,03513000,GOLDEN GATE PKWY,GREEN BLVD,29000,9,56,Collier
2023,034712,03000039,S COLLIER BLVD,S BARFIELD DR,4100,9,56,Collier
2023,037014,03175005,I-75,SR-951,16500,10.5,99.9,Collier
2023,030017,03010000,VANDER BCH RD/CR 862,GULF PARK DR,43500,9,56.5,Collier
2023,030001,03080000,LK TRAFFORD RD,CR 29A,16400,9,55.8,Collier
2023,030179,03010000,LEE CO  LN,SHOPPING CENTER ENT,41500,9,56.5,Collier
2023,030063,03631105,GOLDEN GATE PKWY,GOODLETTE FRANK RD,6500,9,99.9,Collier
2023,030023,03003000,NORTH RD,UNSIGNED,51500,9,56,Collier
2023,034524,03550000,VANDERBILT BCH RD,US 41,11900,9,56,Collier
2023,037006,03175033,I-75 SB,I-75 SB,250,10.5,99.9,Collier
2023,034101,03000007,CRAYTON RD,US-41/SR-45/9TH ST N,1700,9,56,Collier
2023,030351,03175000,N/A,Bridge No-030196,29848,10.5,53.7,Collier
2023,030111,03010000,SAN MARCO DR/CR 92,CR 29,3700,9.5,56,Collier
2023,030158,03631000,N/A,CR 896/PINE RIDGE RD,34000,9,56,Collier
2023,030195,03001000,COUNTY BARN RD,SANTA BARBARA BLVD,28000,9,56,Collier
2023,034669,03610000,US41/TAMIAMI TRL,GULF HARBOR DR,7100,9,56,Collier
2023,034537,03000040,SR-84/DAVIS BLVD,CR-856/RADIO RD,38500,9,56,Collier
2023,030170,03001000,SANTA BARBARA BLVD,CR 856 / RADIO RD,16500,9,56,Collier
2023,034523,03530000,RAMP NORTH OF I-75,N/A,42000,9,56,Collier
2023,030273,03000302,12TH AVE NE,N/A,3500,9.5,56,Collier
2023,034605,03511000,LIVINGSTON RD,N/A,57000,9,56,Collier
2023,030059,03000026,BANYAN BLVD,GULF SHORE BLVD N,3200,9,56,Collier
2023,030173,03175000,BROWARD COUNTY LINE,N/A,26000,10.5,53.1,Collier
2023,030094,03010000,PETERS AVE,THOMASSON DR,43255,9,56.5,Collier
2023,030062,03000524,VANDERBILT BEACH RD,AZALEA DR,14300,9,56,Collier
2023,037001,03175027,I-75,SR-29,700,10.5,99.9,Collier
2023,034621,03000055,CR-92/SAN MARCO RD,BRIARWOOD CT,3400,9,56,Collier
2023,030200,03050000,CR850/CORKSCREW RD,SR 29,17900,9.5,55.8,Collier
2023,034657,03030000,VERONA WALK BLVD,N/A,41500,9,56.5,Collier
2023,034148,03510100,PELICAN EAST,SR 951/COLLIER BLVD,3600,9,56,Collier
2023,032003,03175000,GOLDEN GT PKWY/CR886,Bridge No-030200,83000,9,53.6,Collier
2023,030015,03010000,THOMASSON DR,TREETOPS DR,47000,9,56.5,Collier
2023,034176,03580000,NEW MARKET RD W,SR 29/N 15TH ST,7800,9,99.9,Collier
2023,034139,03501000,LEE CO  LINE,SR 82,6800,9.5,56,Collier
2023,034522,03000052,BAYSHORE DR,ORCHARD LN,9200,9,56,Collier
2023,030205,03080000,CR 858 / OIL WELL RD,NEW HARVEST RD,8800,9,55.8,Collier
2023,034129,03020000,SR-29/MAIN ST,HENDRY CO. LN/CR-858,3000,9,56,Collier
2023,030067,03631102,AIRPORT PULLING RD,GOLDEN GATE PKWY,10500,9,99.9,Collier
2023,030035,03003000,PINE RIDGE RD,N/A,52000,9,56,Collier
2023,034172,03540000,SR 29,CO. LINE RD,900,9.5,56,Collier
2023,034528,03513000,RADIO RD/CR 856,GOLDEN GATE PKWY,50500,9,56,Collier
2023,030271,03000301,GOLDEN GATE BLVD,12TH AVE NE,2600,9,56,Collier
2023,034165,03528000,COLLIER/MONROE CO LN,US 41/TAMIAMI TRAIL,80,9.5,56,Collier
2023,037002,03175025,SR-29,I-75,2600,10.5,99.9,Collier
2023,030060,03000041,AIRPORT PULLING RD,LIVINGSTON RD,11900,9,56,Collier
2023,030002,03080000,NEW HARVEST RD,1ST ST,9800,9,55.8,Collier
2023,035001,03010000,DAVIS BLVD/ SR 84,PETERS AVE,36000,9,56.5,Collier
2023,034122,03000063,SR 29 (W MAIN ST),IMMOKALEE DR,12100,9,56,Collier
2023,034655,03530000,GOLDEN GATE BLVD,CR 846,43000,9,56,Collier
2023,037038,03175038,CR 886/GOLDEN GATE,I-75 / SR 93 NB,12000,9,99.9,Collier
2023,034900,03000018,US 41 TAMIAMI TRAIL,CR-864/RATLSNAK HAMM,9400,9,56,Collier
2023,037033,03175023,IMMOKALEE RD/CR 846,I-75 NB / SR 93,19500,9,99.9,Collier
2023,030045,03000029,PARK SHORE DR,SEAGATE DR,4900,9,56,Collier
2023,037013,03175007,SR-951 SB,I-75 NB,14500,10.5,99.9,Collier
2023,030005,03010000,SIX L'S FARM RD,SAN MARCO DR/CR 92,6100,9.5,56,Collier
2023,030064,03631101,GOLDEN GATE PKWY,AIRPORT PULLING RD,10500,9,99.9,Collier
2023,034125,03000523,VANDERBILT BCH RD,CR-846/IMMOKALEE RD,9100,9,56,Collier
2023,034155,03519000,GREEN BLVD,VANDERBILT BEACH RD,33500,9,56,Collier
2023,034116,03000057,CR 846 IMMOKALEE RD,EVERGLADES BLVD,18800,9,56,Collier
2023,030160,03504000,AIRPORT PULLING/CR31,LIVINGSTON RD,58500,9,56,Collier
2023,034188,03633000,RATTLESNAKE HAMMOCK,DAVIS BLVD/SR 84,5100,9,56,Collier
2023,037034,03175021,I-75 SB / SR 93,IMMOKALEE RD/CR 846,20500,9,99.9,Collier
2023,034601,03030000,N/A,BECK BLVD,58000,9,56.5,Collier
2023,034690,03521000,GOLDENGATEPKWY/CR886,PINE RIDGE RD/CR 896,29000,9,56,Collier
2023,030052,03515000,GOLDEN GATE BLVD,CR-846/IMMOKALEE RD,11700,9,56,Collier
2023,034199,03000007,GULF SHORE BLVD,CRAYTON RD,2400,9,56,Collier
2023,034532,03030000,SR 90/US 41,VERONA WALK BLVD,42000,9,56.5,Collier
2023,030272,03000302,GOLDEN GATE BLVD,12TH AVE NE,200,9,56,Collier
2023,034185,03600000,SNOOK ALLEY,BROADWAY,1300,9.5,56,Collier
2023,034102,03000008,BROAD AVE S,BANYAN BLVD,2900,9,56,Collier
2023,037035,03175035,I-75 / SR 93 NB,CR 886/GOLDEN GATE,2400,9,99.9,Collier
2023,037031,03175019,I-75 NB / SR 93,IMMOKALEE RD/CR 846,10500,9,99.9,Collier
2023,030176,03001000,AIRPORT PULLING RD,COUNTY BARN RD,26000,9,56,Collier
2023,034521,03530000,BAYSHORE DR,US 41/TAMIAMI TRAIL,16700,9,56,Collier
2023,037004,03175026,I-75,SR-29,2200,10.5,99.9,Collier
2023,034103,03000013,GULFSHORE BLVD,9TH ST S /US-41,3200,9,56,Collier
2023,030048,03060000,S BARFIELD DR,US 41/TAMIAMI TRL,3000,9,56,Collier
2023,030192,03010000,111TH AVE N/CR 846,VANDER BCH RD/CR 862,57000,9,56.5,Collier
2023,034187,03632000,CR-846/IMMOKALEE RD,SR-29,13700,9.5,56,Collier
2023,030184,03080000,SR 82,HENDRY CO. LN,7200,9.5,55.8,Collier
2023,034100,03000001,HURON CT,SR-951/SAN MARCO RD,8400,9,56.5,Collier
2023,034603,03030000,N/A,RATTLESNAKE HAMMOCK,45500,9,56.5,Collier
2023,030066,03631104,GOLDEN GATE PKWY,AIRPORT PULLING RD,7800,9,99.9,Collier
2023,034126,03000529,CORKSCREW RD,CR 850/WILDCAT DR,6800,9.5,56,Collier
2023,034174,03560000,PEPPER RD,SR-29/15TH ST,9200,9,56,Collier
2023,034152,03514000,US-41/SR-45,CHANNEL THIRTY DR,17000,9,56,Collier
2023,034530,03000015,US 41/TAMIAMI TR,GOODLETTE-FRANK RD,24000,9,56,Collier
2023,030178,03001000,US 41/SR 90,AIRPORT PULLING RD,26000,9,56,Collier
2023,034673,03521000,IMMOKALEE RD/CR 846,LEE CO  LINE,36000,9,56,Collier
2023,034119,03000060,CR-901/VANDERBILT DR,BLUEBILL AVE,3000,9,56,Collier
2023,034652,03000056,N/A,500'E OF DESOTO BLVD,33000,9,56,Collier
2023,034578,03550000,CR888/WIGGINS PASSRD,BLUEBILL AVE,7100,9,56,Collier
2023,034569,03507000,US-41/TAMIAMI TRL,THE COMMONS,31000,9,56,Collier
2023,030022,03000010,TERMINAL DR,AIRPORT PULLING RD,2500,9,56,Collier
2023,030031,03080000,CR837/WAGON WHEEL RD,Bridge No-030291,1600,9.5,56,Collier
2023,030183,03050000,HENDRY CO LN,CR850/CORKSCREW RD,17800,9.5,55.8,Collier
2023,034507,03631000,BEARS PAW TR,N/A,57500,9,56,Collier
2023,034201,03000064,UNSIGNED,LK TRAFFORD RD/CR890,4000,9,56,Collier
2023,034687,03521000,BRIARWOOD BLVD,GOLDENGATEPKWY/CR886,40500,9,56,Collier
2023,034104,03000020,CR-896/PINE RIDGE RD,CR-846/IMMOKALEE RD,24000,9,56,Collier
2023,037037,03175037,I-75 / SR 93 SB,CR 886/GOLDEN GATE,21000,9,99.9,Collier
2023,034186,03631100,BEARS PAW TRL,CR 881 LIVINGSTON RD,49500,9,56,Collier
2023,037003,03175028,SR-29,I-75,1300,10.5,99.9,Collier
2023,034901,03000019,PINE RIDGE ROAD,AIRPORT ROAD,15200,9,56,Collier
2023,037023,03175015,PINE RIDGE RD/CR-896,I-75 NB,12500,9,99.9,Collier
2023,030012,03010000,GULF PARK DR,SEAGATE DR/CR 896,49000,9,56.5,Collier
2023,030024,03003000,UNSIGNED,PINE RIDGE RD,42000,9,56,Collier
2023,034203,03590000,TURNOUT TO I75 SB,MAIN ST/SR 29,10700,9.5,56,Collier
2023,034106,03000027,END OF RD/BCH ACCESS,US-41/SR45,6300,9,56,Collier
2023,030038,03080000,IMMOKALEE DR,LK TRAFFORD RD,17800,9,55.8,Collier
2023,034602,03030000,RATTLESNAKE HAMMOCK,N/A,47500,9,56.5,Collier
2023,030193,03001000,CR 856 / RADIO RD,CR 951/COLLIER BLVD,28000,9,56,Collier
2023,034536,03530000,WHITE BLVD,GOLDEN GATE BLVD,52000,9,56,Collier
2023,039950,03175000,Bridge No-030321,LEE COUNTY LINE,111849,9,52.4,Collier
2023,030189,03030000,CR 92/SAN MARCO RD,Bridge No-030293,15300,9,56.5,Collier
2023,034567,03590000,SR 45/US 41,TURNOUT TO I75 SB,59000,9,56,Collier
2023,034628,03504000,LIVINGSTON RD,N/A,67500,9,56,Collier
2023,030044,03000029,HARBOR DR,PARK SHORE DR,3000,9,56,Collier
2023,034131,03060000,COLLIER BLVD/SR 951,S BARFIELD DR,4500,9,56,Collier
2023,030194,03010000,SR 951,SIX L'S FARM RD,24500,9,56,Collier
2023,032354,03634001,GULF SHORE BLVD,US-41/SR-45,6600,9,56,Collier
2023,030175,03003000,SR-84/DAVIS BLVD,NORTH RD,51500,9,56,Collier
2023,034575,03521000,PINE RIDGE RD/CR 896,ORANGE BLOSSOM DR,32500,9,56,Collier
2023,034034,03000030,.362 S OF HARBOUR DR,.625 N OF PARK SHORE,2000,9,56,Collier
2023,037022,03175011,PINE RIDGE RD/CR-896,I-75/SR-93,7600,9,99.9,Collier
2023,034144,03510000,SAN MARCO RD,END OF ROUNDABOUT,13000,9,56,Collier
2023,034112,03000046,CR-862/VANDERBILT RD,111TH AVE,4800,9,56,Collier
2023,034137,03070000,COPELAND AVE,US41/TAMIAMI TRAIL,2400,9.5,56,Collier
2023,035007,03010000,BANYAN BLVD,5TH AVE S,36000,9,56.5,Collier
2023,030065,03631103,AIRPORT PULLING RD,GOLDEN GATE PKWY,9100,9,99.9,Collier
2023,030201,03000303,20TH ST NE,N/A,300,9.5,56,Collier
2023,034034,03530000,DANFORD STREET,BAYSHORE DR,2000,9,56,Collier
2023,034659,03503000,VANDERBILT BCH RD,CR 846/NAPLES-IMMOKA,29500,9,56,Collier
2023,034111,03000044,BANYAN BLVD,HARBOUR DR,2800,9,56,Collier
2023,030143,03080000,CR 29A,SR 82,22092,9.5,54.4,Collier
2023,030270,03040000,CR839TURNER RIVER RD,CR 94/LOOP RD,3638,9.5,57.1,Collier
2023,030014,03010000,TREETOPS DR,SR 951,38000,9,56.5,Collier
2023,034123,03000066,SR 82,TERMINUS,850,9.5,56,Collier
2023,034686,03521000,CR856/RADIO RD,BRIARWOOD BLVD,27500,9,56,Collier
2023,034622,03000055,BRIARWOOD CT,BALD EAGLE DR,8600,9,56,Collier
2023,037036,03175036,CR 886/GOLDEN GATE,I-75 / SR 93 SB,2500,9,99.9,Collier
2023,030057,03000022,COLLIER BLVD,LELY RESORT BLVD,6600,9,56,Collier
2023,037005,03175034,I-75 NB,I-75 NB,150,10.5,99.9,Collier
2023,034114,03000054,GOLDEN GATE BLVD,CR 846/ IMMOKALEE RD,8500,9,56,Collier
2023,037021,03175009,I-75/SR-93,PINE RIDGE RD/CR-896,6000,9,99.9,Collier
2024,034578,03550000,CR888/WIGGINS PASSRD,BLUEBILL AVE,7300,9,57.4,Collier
2024,037036,03175036,CR 886/GOLDEN GATE,I-75 / SR 93 SB,2600,9,99.9,Collier
2024,034166,03530001,IBIS CLUB DR,SR 84/DAVIS BLVD,29000,9,57.4,Collier
2024,034149,03512000,US41 / TAMIAMI TRL,N/A,30500,9,57.4,Collier
2024,037023,03175015,PINE RIDGE RD/CR-896,I-75 NB,13000,9,99.9,Collier
2024,030006,03080000,SR90/US41/TAMIAMI TR,Bridge No-030291,2800,9.5,57.4,Collier
2024,034669,03610000,US41/TAMIAMI TRL,GULF HARBOR DR,7300,9,57.4,Collier
2024,034628,03504000,LIVINGSTON RD,N/A,69500,9,57.4,Collier
2024,034687,03521000,BRIARWOOD BLVD,GOLDENGATEPKWY/CR886,42000,9,57.4,Collier
2024,037022,03175011,PINE RIDGE RD/CR-896,I-75/SR-93,7900,9,99.9,Collier
2024,030182,03080000,Bridge No-030291,CR 858 / OIL WELL RD,8200,9.5,57.4,Collier
2024,034187,03632000,CR-846/IMMOKALEE RD,SR-29,14200,9.5,57.4,Collier
2024,030065,03631103,AIRPORT PULLING RD,GOLDEN GATE PKWY,9400,9,99.9,Collier
2024,034144,03510000,SAN MARCO RD,END OF ROUNDABOUT,13400,9,57.4,Collier
2024,034528,03513000,RADIO RD/CR 856,GOLDEN GATE PKWY,52500,9,57.4,Collier
2024,030205,03080000,CR 858 / OIL WELL RD,NEW HARVEST RD,9300,9,57.4,Collier
2024,034112,03000046,CR-862/VANDERBILT RD,111TH AVE,5000,9,57.4,Collier
2024,030001,03080000,LK TRAFFORD RD,CR 29A,12400,9,57.4,Collier
2024,034174,03560000,PEPPER RD,SR-29/15TH ST,9600,9,57.4,Collier
2024,037038,03175038,CR 886/GOLDEN GATE,I-75 / SR 93 NB,12500,9,99.9,Collier
2024,034605,03511000,LIVINGSTON RD,Bridge No-030199,59000,9,57.4,Collier
2024,037001,03175027,I-75,SR-29,750,10.5,99.9,Collier
2024,034523,03530000,RAMP NORTH OF I-75,N/A,41500,9,57.4,Collier
2024,034148,03510100,PELICAN EAST,SR 951/COLLIER BLVD,3800,9,57.4,Collier
2024,037002,03175025,SR-29,I-75,2700,10.5,99.9,Collier
2024,034165,03528000,COLLIER/MONROE CO LN,US 41/TAMIAMI TRAIL,80,9.5,57.4,Collier
2024,039950,03175000,Bridge No-030321,LEE COUNTY LINE,115657,9,52.4,Collier
2024,030011,03040000,CR 94/LOOP RD,DADE CO LN,3400,9.5,58.8,Collier
2024,034507,03631000,BEARS PAW TR,N/A,59500,9,57.4,Collier
2024,037003,03175028,SR-29,I-75,1300,10.5,99.9,Collier
2024,030104,03040000,CR 29,CR839TURNER RIVER RD,3800,9.5,58.8,Collier
2024,034188,03633000,RATTLESNAKE HAMMOCK,DAVIS BLVD/SR 84,5300,9,57.4,Collier
2024,034176,03580000,MAIN ST,NEW MARKET RD W,16600,9,57.4,Collier
2024,034139,03501000,LEE CO  LINE,SR 82,7000,9.5,57.4,Collier
2024,034673,03521000,IMMOKALEE RD/CR 846,LEE CO  LINE,37000,9,57.4,Collier
2024,037004,03175026,I-75,SR-29,2300,10.5,99.9,Collier
2024,034602,03030000,RATTLESNAKE HAMMOCK,N/A,47500,9,57.3,Collier
2024,034166,03530000,AIRPORT PULLING,N/A,29000,9,57.4,Collier
2024,034531,03000043,COLLIER BLVD/CR 951,GOLDEN GATE BLVD,38500,9,57.4,Collier
2024,034155,03519000,GREEN BLVD,VANDERBILT BEACH RD,34500,9,57.4,Collier
2024,030158,03631000,N/A,CR 896/PINE RIDGE RD,35000,9,57.4,Collier
2024,037039,03175039,CR 886/GOLDEN GATE,RAMP# 03175038,8900,9,99.9,Collier
2024,034575,03521000,PINE RIDGE RD/CR 896,ORANGE BLOSSOM DR,33500,9,57.4,Collier
2024,037011,03175001,SR-951,I-75/SR-93 SB,2500,9,99.9,Collier
2024,030183,03050000,HENDRY CO LN,CR850/CORKSCREW RD,18800,9.5,57.4,Collier
2024,034524,03550000,VANDERBILT BCH RD,US 41,12300,9,57.4,Collier
2024,037005,03175034,I-75 NB,I-75 NB,150,10.5,99.9,Collier
2024,034510,03511000,N/A,CR 951/COLLIER BLVD,24500,9,57.4,Collier
2024,030200,03050000,CR850/CORKSCREW RD,SR 29,18900,9.5,57.4,Collier
2024,034655,03530000,GOLDEN GATE BLVD,CR 846,44500,9,57.4,Collier
2024,030184,03080000,SR 82,HENDRY CO. LN,7400,9.5,57.4,Collier
2024,034686,03521000,CR856/RADIO RD,BRIARWOOD BLVD,28500,9,57.4,Collier
2024,034203,03590000,TURNOUT TO I75 SB,MAIN ST/SR 29,11100,9.5,57.4,Collier
2024,037012,03175003,I-75 NB TO SR 951 NB,SR 951 NB,2900,9,99.9,Collier
2024,030029,03080000,1ST ST,IMMOKALEE DR,19900,9,57.4,Collier
2024,034172,03540000,SR 29,CO. LINE RD,900,9.5,57.4,Collier
2024,034503,03503000,CR896/PINE RIDGE RD,VANDERBILT BCH RD,45000,9,57.4,Collier
2024,034690,03521000,GOLDENGATEPKWY/CR886,PINE RIDGE RD/CR 896,30000,9,57.4,Collier
2024,037031,03175019,I-75 NB / SR 93,IMMOKALEE RD/CR 846,11000,9,99.9,Collier
2024,034131,03060000,COLLIER BLVD/SR 951,S BARFIELD DR,4700,9,57.4,Collier
2024,030191,03175000,Bridge No-030200,Bridge No-030321,98123,9,54.7,Collier
2024,034601,03030000,N/A,BECK BLVD,57500,9,57.3,Collier
2024,034521,03530000,BAYSHORE DR,US 41/TAMIAMI TRAIL,17300,9,57.4,Collier
2024,034569,03507000,US-41/TAMIAMI TRL,THE COMMONS,32000,9,57.4,Collier
2024,037014,03175005,I-75,SR-951,17000,10.5,99.9,Collier
2024,034536,03530000,WHITE BLVD,GOLDEN GATE BLVD,54000,9,57.4,Collier
2024,037013,03175007,SR-951 SB,I-75 NB,15000,10.5,99.9,Collier
2024,030061,03527000,N/A,CR 846/IMMOKALEE RD,2500,9.5,57.4,Collier
2024,034516,03505000,US-41/SR-90,COUNTY BARN RD,22500,9,57.4,Collier
2024,034529,03513000,GOLDEN GATE PKWY,GREEN BLVD,30000,9,57.4,Collier
2024,037035,03175035,I-75 / SR 93 NB,CR 886/GOLDEN GATE,2500,9,99.9,Collier
2024,034585,03518000,GULFSHORE DR,US41/TAMIAMI TRL,4400,9,57.4,Collier
2024,037006,03175033,I-75 SB,I-75 SB,250,10.5,99.9,Collier
2024,034111,03000044,BANYAN BLVD,HARBOUR DR,2900,9,57.4,Collier
2024,030066,03631104,GOLDEN GATE PKWY,AIRPORT PULLING RD,8100,9,99.9,Collier
2024,035629,03516000,GULF SHORE BLVD,US-41,4800,9,57.4,Collier
2024,037032,03175017,IMMOKALEE RD/CR 846,I-75 SB/ SR 93,11000,9,99.9,Collier
2024,030002,03080000,NEW HARVEST RD,1ST ST,10400,9,57.4,Collier
2024,030067,03631102,AIRPORT PULLING RD,GOLDEN GATE PKWY,11000,9,99.9,Collier
2024,034010,03507000,THE COMMONS,GOLDEN GATE PKWY,36000,9,57.4,Collier
2024,034548,03610000,VANDERBILT DR/CR 901,BONITA BEACH RD SW,9400,9,57.4,Collier
2024,030143,03080000,CR 29A,SR 82,22930,9.5,56,Collier
2024,034603,03030000,N/A,RATTLESNAKE HAMMOCK,45500,9,57.3,Collier
2024,030054,03550000,US 41,GOODLETTE-FRANK RD,3300,9,57.4,Collier
2024,034526,03504000,N/A,COLLIER BLVD/CR-951,47000,9,57.4,Collier
2024,037037,03175037,I-75 / SR 93 SB,CR 886/GOLDEN GATE,21500,9,99.9,Collier
2024,034597,03521000,VANDERBILTBCHRDCR862,IMMOKALEE RD/CR 846,32500,9,57.4,Collier
2024,037021,03175009,I-75/SR-93,PINE RIDGE RD/CR-896,6200,9,99.9,Collier
2024,034137,03070000,COPELAND AVE,US41/TAMIAMI TRAIL,2400,9.5,57.4,Collier
2024,034185,03600000,SNOOK ALLEY,BROADWAY,1300,9.5,57.4,Collier
2024,034110,03000042,GOODLETTE FRANK RD,AIRPORT PULLING RD,11900,9,57.4,Collier
2024,030048,03060000,S BARFIELD DR,US 41/TAMIAMI TRL,3200,9,57.4,Collier
2024,034186,03631100,BEARS PAW TRL,CR 881 LIVINGSTON RD,51500,9,57.4,Collier
2024,034157,03527000,CR 858/OIL WELL RD,N/A,2800,9.5,57.4,Collier
2024,032000,03175000,Bridge No-030196,GOLDEN GT PKWY/CR886,52500,9,57.1,Collier
2024,034532,03030000,SR 90/US 41,VERONA WALK BLVD,42000,9,57.3,Collier
2024,034567,03590000,SR 45/US 41,TURNOUT TO I75 SB,61000,9,57.4,Collier
2024,034152,03514000,US-41/SR-45,CHANNEL THIRTY DR,17600,9,57.4,Collier
2024,030351,03175000,N/A,Bridge No-030196,30214,10.5,54.1,Collier
2024,037007,03175032,C/L OF 03175030,C/L OF 03175031,150,10.5,54.1,Collier
2024,030038,03080000,IMMOKALEE DR,LK TRAFFORD RD,18700,9,57.4,Collier
2024,030064,03631101,GOLDEN GATE PKWY,AIRPORT PULLING RD,11000,9,99.9,Collier
2024,034659,03503000,VANDERBILT BCH RD,CR 846/NAPLES-IMMOKA,30500,9,57.4,Collier
2024,034576,03521000,ORANGE BLOSSOM DR,VANDERBILTBCHRDCR862,40500,9,57.4,Collier
2024,037034,03175021,I-75 SB / SR 93,IMMOKALEE RD/CR 846,21000,9,99.9,Collier
2024,034034,03530000,DANFORD STREET,BAYSHORE DR,2000,9,57.4,Collier
2024,032354,03634001,GULF SHORE BLVD,US-41/SR-45,6800,9,57.4,Collier
2024,034670,03610000,GULF HARBOR DR,VANDERBILT DR/CR 901,4900,9,57.4,Collier
2024,034534,03505000,COUNTY BARN RD,AZURE ENT,19300,9,57.4,Collier
2024,030052,03515000,GOLDEN GATE BLVD,CR-846/IMMOKALEE RD,12100,9,57.4,Collier
2024,032003,03175000,GOLDEN GT PKWY/CR886,Bridge No-030200,57000,9,57.1,Collier
2024,030190,03030001,BECK BLVD,ENDS @ RIGHT OF WAY,66500,9,57.3,Collier
2024,034176,03580000,NEW MARKET RD W,SR 29/N 15TH ST,8300,9,99.9,Collier
2024,037033,03175023,IMMOKALEE RD/CR 846,I-75 NB / SR 93,20000,9,99.9,Collier
2024,030270,03040000,CR839TURNER RIVER RD,CR 94/LOOP RD,3673,9.5,58.8,Collier
2024,030160,03504000,AIRPORT PULLING/CR31,LIVINGSTON RD,60500,9,57.4,Collier
2024,030050,03515000,52ND AVE SE,GOLDEN GATE BLVD,10200,9,57.4,Collier
2024,030173,03175000,BROWARD COUNTY LINE,N/A,26500,10.5,54.1,Collier
2024,034657,03030000,VERONA WALK BLVD,N/A,41500,9,57.3,Collier
2024,030063,03631105,GOLDEN GATE PKWY,GOODLETTE FRANK RD,6700,9,99.9,Collier
2024,037024,03175013,I-75 / SR 93 SB,PINE RIDGE RD/CR 896,13500,9,99.9,Collier
2024,034525,03530000,N/A,WHITE BLVD,44500,9,57.4,Collier
2024,030023,03003000,NORTH RD,UNSIGNED,53500,9,57.4,Collier
2024,030061,03000049,OIL WELL RD,POPE JOHN PAUL II BL,2500,9.5,57.4,Collier
2024,035001,03010000,DAVIS BLVD/ SR 84,PETERS AVE,35500,9,57.3,Collier
2024,035011,03010000,PARK SHORE DR,NAPLES PLZ  ENT,41500,9,57.3,Collier
2024,034652,03000056,N/A,500'E OF DESOTO BLVD,34000,9,57.4,Collier
2024,030022,03000010,TERMINAL DR,AIRPORT PULLING RD,2300,9,57.4,Collier
2024,034128,03003000,N/A,US-41/SR-45,37500,9,57.4,Collier
2024,034119,03000060,CR-901/VANDERBILT DR,BLUEBILL AVE,3200,9,57.4,Collier
2024,034902,03000061,CARSON RD,N/A,9100,9,57.4,Collier
2024,034537,03000040,SR-84/DAVIS BLVD,CR-856/RADIO RD,39500,9,57.4,Collier
