year,month,passengers
2013,1,755232
2013,2,827147
2013,3,1115937
2013,4,815978
2013,5,576713
2013,6,473208
2013,7,467946
2013,8,414303
2013,9,338175
2013,10,478376
2013,11,639047
2013,12,735739
2014,1,778163
2014,2,862899
2014,3,1147059
2014,4,865554
2014,5,591116
2014,6,478692
2014,7,496472
2014,8,446402
2014,9,366038
2014,10,503243
2014,11,669567
2014,12,765288
2015,1,854953
2015,2,906039
2015,3,1181382
2015,4,902669
2015,5,602891
2015,6,481512
2015,7,492114
2015,8,454360
2015,9,404045
2015,10,535921
2015,11,720556
2015,12,835359
2016,1,918929
2016,2,989845
2016,3,1269961
2016,4,900594
2016,5,606833
2016,6,492413
2016,7,484074
2016,8,431729
2016,9,391844
2016,10,550316
2016,11,727634
2016,12,840501
2017,1,892905
2017,2,946079
2017,3,1252124
2017,4,1032783
2017,5,629321
2017,6,528383
2017,7,530428
2017,8,481185
2017,9,327466
2017,10,581317
2017,11,767064
2017,12,873494
2018,1,965981
2018,2,1053817
2018,3,1379728
2018,4,939957
2018,5,668665
2018,6,546159
2018,7,561039
2018,8,501023
2018,9,418256
2018,10,569553
2018,11,810283
2018,12,958717
2019,1,1050093
2019,2,1117409
2019,3,1482239
2019,4,1111558
2019,5,725754
2019,6,586319
2019,7,570977
2019,8,526519
2019,9,460869
2019,10,638922
2019,11,876703
2019,12,1077818
2020,1,1132103
2020,2,1241590
2020,3,861221
2020,4,53379
2020,5,143004
2020,6,237706
2020,7,256418
2020,8,231283
2020,9,255926
2020,10,417305
2020,11,500468
2020,12,648011
2021,1,686563
2021,2,725735
2021,3,1162342
2021,4,1107004
2021,5,946366
2021,6,839377
2021,7,814471
2021,8,647534
2021,9,551041
2021,10,769524
2021,11,986908
2021,12,1085569
2022,1,1044816
2022,2,1149618
2022,3,1514046
2022,4,1221628
2022,5,836379
2022,6,663141
2022,7,671225
2022,8,620532
2022,9,515077
2022,10,432667
2022,11,812305
2022,12,862368
2023,1,932896
2023,2,967416
2023,3,1166442
2023,4,981216
2023,5,760330
2023,6,643486
2023,7,670818
2023,8,601542
2023,9,560358
2023,10,737527
2023,11,953025
2023,12,1094793
2024,1,1108190
2024,2,1223761
2024,3,1509777
2024,4,1133256
2024,5,843270
2024,6,696867
2024,7,677137
2024,8,614531
2024,9,523004
2024,10,657488
2024,11,919108
2024,12,1121793
2025,1,1067794
2025,2,1173638
2025,3,1463628
2025,4,1178980
2025,5,834862
2025,6,698573
2025,7,720973
2025,8,647917
2025,9,550259
2025,10,774689
2025,11,940689
2025,12,1102456
