date,north_plain,north_weighted,naples,gap_plain,gap_weighted
2000-01-01,38.983333333333334,37.71819359854866,69,30.016666666666666,31.28180640145134
2000-01-02,47.44166666666667,46.412427108980175,69.8,22.358333333333327,23.387572891019822
2000-01-03,48.09166666666667,47.595036931450046,70.2,22.108333333333334,22.604963068549957
2000-01-04,45.5,45.71455228715822,71.7,26.200000000000003,25.985447712841783
2000-01-05,33.833333333333336,32.66790203446936,69.3,35.46666666666666,36.63209796553064
2000-01-06,33.75,31.89701956718932,70.5,36.75,38.60298043281068
2000-01-07,34.625,33.49615135415317,71.3,36.675,37.80384864584683
2000-01-08,35.6,34.33130750291564,70.7,35.1,36.36869249708436
2000-01-09,39.94166666666666,39.165802773098356,70.6,30.65833333333333,31.434197226901638
2000-01-10,43.55,42.85914215368667,72,28.450000000000003,29.14085784631333
2000-01-11,41.59166666666667,40.94255539717507,71.5,29.90833333333333,30.55744460282493
2000-01-12,37.199999999999996,35.877789296358685,69.6,32.4,33.72221070364131
2000-01-13,32.63333333333333,30.298665284436957,68.8,36.166666666666664,38.50133471556304
2000-01-14,23.608333333333334,20.094168718413894,64.2,40.59166666666667,44.105831281586106
2000-01-15,28.275,24.774277569003498,61.2,32.925000000000004,36.4257224309965
2000-01-16,34.608333333333334,32.19847090838409,63.3,28.691666666666663,31.10152909161591
2000-01-17,22.541666666666668,17.85271478553842,63.2,40.65833333333333,45.34728521446158
2000-01-18,24.066666666666666,19.630231955423092,62.9,38.83333333333333,43.26976804457691
2000-01-19,26.241666666666667,22.457483478035506,67.3,41.05833333333333,44.84251652196449
2000-01-20,24.4,21.24769988337437,69.3,44.9,48.05230011662563
2000-01-21,16.133333333333333,12.744706492160168,58,41.86666666666667,45.25529350783983
2000-01-22,17.84166666666667,13.539251004276274,60.4,42.55833333333333,46.860748995723725
2000-01-23,24.191666666666666,20.44264610599974,66.4,42.20833333333334,45.95735389400026
2000-01-24,24.858333333333334,21.814668912789944,65.9,41.04166666666667,44.085331087210065
2000-01-25,25.483333333333334,23.949488143060776,58.4,32.916666666666664,34.45051185693922
2000-01-26,22.316666666666666,20.689425942723858,56.4,34.08333333333333,35.71057405727614
2000-01-27,15.916666666666668,14.37132305299987,50.2,34.28333333333333,35.82867694700013
2000-01-28,15.966666666666667,13.000725670597383,59.7,43.733333333333334,46.69927432940262
2000-01-29,21.191666666666666,19.49234158351691,65.9,44.70833333333334,46.407658416483095
2000-01-30,26.21666666666667,24.59975379033303,66.7,40.483333333333334,42.10024620966698
2000-01-31,30.033333333333335,28.60390047946093,65.4,35.366666666666674,36.79609952053907
2000-02-01,28.441666666666666,26.464532849552935,64.7,36.25833333333334,38.235467150447064
2000-02-02,25.03333333333333,22.042257353894,65.7,40.66666666666667,43.657742646106
2000-02-03,29.21666666666667,26.616897758196192,65.7,36.483333333333334,39.083102241803815
2000-02-04,30.433333333333334,27.99926137099909,64.8,34.36666666666666,36.800738629000904
2000-02-05,28.275,26.106595827394067,59,30.725,32.89340417260593
2000-02-06,29.375,27.008461837501617,56.6,27.225,29.591538162498384
2000-02-07,33.858333333333334,31.219994816638593,61.7,27.84166666666667,30.48000518336141
2000-02-08,26.633333333333333,23.127795775560454,59.8,33.166666666666664,36.67220422443954
2000-02-09,35.766666666666666,33.521783076324994,59.5,23.733333333333334,25.978216923675006
2000-02-10,37.983333333333334,35.984579499805626,59.6,21.616666666666667,23.615420500194375
2000-02-11,36.016666666666666,34.05951794738888,61.2,25.183333333333337,27.14048205261112
2000-02-12,27.941666666666666,25.666450693274587,62.9,34.95833333333333,37.23354930672541
2000-02-13,32.525,30.400958921860827,67.1,34.574999999999996,36.69904107813917
2000-02-14,38.416666666666664,37.592846961254374,71.4,32.98333333333334,33.80715303874563
2000-02-15,35.45,33.55736685240378,72.3,36.849999999999994,38.742633147596216
2000-02-16,38.05,36.00361539458339,70.2,32.150000000000006,34.19638460541661
2000-02-17,32.05833333333333,29.451807697291695,68.8,36.74166666666667,39.3481923027083
2000-02-18,34.025,31.191680704937152,70.8,36.775,39.60831929506284
2000-02-19,33.90833333333333,31.132590384864585,71.1,37.19166666666666,39.96740961513541
2000-02-20,33.108333333333334,30.34333290138655,69.6,36.49166666666666,39.25666709861345
2000-02-21,34.2,31.75345341453933,67.9,33.7,36.146546585460676
2000-02-22,39.93333333333333,37.95147077880005,66.9,26.966666666666676,28.948529221199955
2000-02-23,45.36666666666667,44.25972528184528,68.8,23.43333333333333,24.54027471815472
2000-02-24,49.46666666666667,48.903589477776336,68.8,19.33333333333333,19.89641052222366
2000-02-25,50.80833333333333,48.55522871582221,69.6,18.791666666666664,21.044771284177784
2000-02-26,48.38333333333333,47.10431514837372,71.1,22.71666666666666,23.995684851626272
2000-02-27,48.391666666666666,47.61485033043929,70.3,21.90833333333333,22.685149669560708
2000-02-28,45.88333333333333,45.11025009718802,69.2,23.31666666666667,24.08974990281198
2000-02-29,45.40833333333333,44.104988985357004,70.3,24.891666666666666,26.195011014642994
2000-03-01,45.30833333333333,43.37776337955164,70,24.69166666666667,26.622236620448362
2000-03-02,41.858333333333334,39.7762213295322,69,27.141666666666666,29.2237786704678
2000-03-03,39.675,37.6729687702475,70.3,30.625,32.6270312297525
2000-03-04,41.525,40.38660101075548,70.6,29.074999999999996,30.213398989244517
2000-03-05,45.541666666666664,44.68232473759233,71,25.458333333333336,26.31767526240767
2000-03-06,45.96666666666667,44.5596864066347,70.1,24.133333333333326,25.540313593365298
2000-03-07,51.858333333333334,50.74092263833096,72.2,20.34166666666667,21.459077361669046
2000-03-08,56.36666666666667,54.707995334974726,71.5,15.133333333333333,16.792004665025274
