year,total_people,northern_people,northern_share
2012,8355,6603,0.7903052064631957
2013,9761,7455,0.7637537137588362
2014,7321,6272,0.8567135637208032
2015,5594,4863,0.8693242760100107
2016,7592,6360,0.8377239199157007
2017,9616,8030,0.8350665557404326
2018,8319,6950,0.8354369515566775
2019,8500,7177,0.8443529411764706
2020,11757,9620,0.8182359445436761
2021,14416,11566,0.8023029966703663
2022,12632,10243,0.8108771374287523
2023,9662,8032,0.831297867936245
